Q9GZY0	P11182
Q8N9K5	Q16609
P0DKV0	Q6S8J3
Q8WXE1	Q8N2I9
P42695	P10643
P05362	Q8TBC4
Q6ZMJ4	P51858
Q8N3V7	Q6ZSS7
P03956	Q12931
Q53EL9	P35813
Q8N0U4	P21283
P01815	P14314
O60229	A6NFA1
Q13492	Q15583
P0CAP2	Q15642
Q8N103	Q99445
O15533	Q5TA82
Q9Y5J3	Q15286
Q8IVF1	Q9NW64
Q9HB14	Q9BX10
Q13885	Q17RW2
Q8N1A0	Q09328
P09769	Q99928
Q13206	Q9UK53
Q8TB72	Q9UPQ7
Q9NQ31	A6NF89
Q96AP0	Q8N878
Q0VDD5	A6NL08
P42566	Q15195
Q9HCN6	A8MT65
P27695	Q86SG4
Q96M15	Q7LFL8
Q8N7H1	Q6ZUJ4
Q9P2W1	Q8N6Y0
Q16099	O95754
Q9H7E9	O60309
Q9NVX0	Q53HC5
Q8IYB7	Q9NWY4
P57076	P08133
A1L157	A8MV57
Q9BYJ4	Q6ZVK1
A7E2Y1	Q6ZMV7
O95562	Q9H1E1
Q96JG8	Q16891
Q9UBD3	P0C7T5
Q0WX57	O15054
Q9BZW2	P56705
Q8WZB0	P48052
Q9UNL2	Q8NGH8
Q96BQ3	Q8NFD2
O75683	P23327
Q5TFG8	Q4G0F5
P52569	Q8N8F6
Q8IZF2	Q29836
O43896	P86479
Q9H0R1	Q8NCU1
Q8WWK9	Q8WZ69
Q96J01	Q8N9V2
Q6EEV6	Q9H2C1
Q8WTW4	Q96CM3
Q10567	Q9BWJ2
Q96F83	O75157
P07948	P31939
Q96N64	O95248
O15389	Q5VZ89
P49189	Q7L5A8
Q8WUA8	F5H4A9
Q96RJ6	Q9P003
Q8NGK5	P55289
O60931	Q9H5K3
Q8NH09	Q9P1D8
O75838	Q02978
Q0VDD8	Q6AZW8
Q96NT5	P49454
P00533	P25788
Q8NFJ9	H0YL14
Q5D0E6	Q9NP66
Q92484	P82094
Q8N4W6	Q86WA6
Q8WXX7	P0C5W0
Q8TBR5	Q86VW0
Q9BYR8	Q96F07
P12034	P04201
Q96MY1	Q4G148
Q9NSI2	Q99643
Q9BXR0	Q9BWS9
O75718	Q9UKP5
P13746	Q86VR7
Q9NS86	Q9UHR6
Q92545	Q53SF7
Q96K37	P62280
Q86UV6	O00322
Q7Z4T9	Q53GA4
Q6ZWJ1	Q8TAV3
Q8IZJ0	P55017
Q9H3H5	Q9Y366
Q75N90	Q14574
P48556	Q12849
P30613	O00287
Q8NET6	Q96B67
Q9P1A6	O76090
O95456	Q03403
Q96DN5	Q9H7D0
Q4G0G2	A6NFC5
P55809	O75678
Q9P055	Q8NH87
Q9BQ50	Q15078
A8MV81	Q96RS0
P06858	Q96CG8
P0C7U1	O43324
P61647	O94776
Q01523	A8MWP6
Q13115	P55201
Q96JB3	A6NHA9
Q5CZ79	P01817
Q9Y6E2	P02647
Q9BTE6	O75586
Q8WYN3	O60487
Q8N976	Q9NRJ1
P27816	A8MZ36
Q96JD6	O95336
P51811	Q9NRF8
Q9BQA5	Q96JK2
P54803	Q9UBH0
Q8NGK6	Q5BKY6
Q9BX84	Q8NEJ9
Q9Y572	Q8TF76
Q8TBP6	Q14406
Q9UID6	O60287
Q8IYB8	P02647
Q9NWX6	Q9BWJ5
P51797	Q8IZ21
Q9UF02	Q86V48
Q9HDB9	Q9UBB6
P0C2W7	Q8NFP9
Q9Y644	Q01469
Q12906	Q5T440
Q9NST1	Q13296
O75317	Q8IXM7
O75344	P55259
O75152	Q96J66
Q6ZT12	P16389
Q9Y2C2	Q96MT0
O94983	O76093
Q96MK3	O75752
O14513	Q07889
Q9NY30	Q5T6L9
Q15018	Q13309
O43439	P57103
Q8N6U2	P0C7T4
Q5T447	Q9UEF7
O75505	Q8NGD2
Q9UNI6	Q13461
Q63HM9	Q5HYL7
O60930	Q8WV60
P59089	Q9UHJ6
Q9NPA2	Q9NSI6
Q8N6M9	O95397
Q8IWF6	P13682
Q7Z4H9	Q8WXD9
O15503	P13674
Q9H0C8	Q86UB9
Q16526	O60344
Q9Y328	Q9P1Z3
Q92876	Q9Y3R5
Q9H9Y6	P52272
P34913	Q69YZ2
P35232	Q9Y5E6
Q8NGX2	P11309
Q8WVM0	Q9Y5Q5
Q6ZUS6	O43747
P43357	Q8NH42
P62820	O15075
Q9BV29	O15244
Q9Y3D0	O96002
Q9TNN7	A4D250
P13164	P07311
P04818	Q92806
O15239	Q5W0N0
E2RYF6	Q9ULK6
Q9Y581	O00716
Q8IXJ9	Q9UHD9
Q9UQQ1	Q8WVZ1
Q8NDW8	Q92947
O00270	P35711
P59922	Q9HB29
P32927	Q12908
P27544	P57081
Q9P0W0	Q9H4L5
A6NGN4	B4DZS4
A4D0T7	P22748
Q9BTE1	Q8IXQ4
P23467	Q6IF82
Q86YN6	Q9P2S6
P00519	Q5VTM2
P01589	Q9H7R0
P0CG04	Q9UNF1
Q5TIE3	Q8N7U6
Q9HAZ2	O14626
P06396	Q12830
A4D2G3	Q8WXD0
O60721	Q92917
Q8TES7	Q9BQY6
Q9NQ35	P10599
Q86WK7	Q6ZRH7
Q7Z4H8	Q9BYX4
O43182	P55212
Q86T82	Q96ND8
P35269	Q8NGY0
A6NIE6	Q9UN71
P15976	P53816
Q9NRM6	O14576
Q9BQP9	P23763
O75396	P01609
Q9UIG4	Q8IWT0
Q8WWC4	P04280
Q7Z7H3	Q9H633
O00186	Q9H898
Q96EP5	P35754
Q86SQ4	Q9BZW8
P35346	Q9H9Y2
Q96P20	P51797
P07900	Q96LR2
O43653	P01765
Q3KQU3	Q3MIV0
Q9UL40	Q9BR09
P23381	P14314
O43526	O75618
Q96LJ7	Q9NXL2
Q9H1A7	O14782
P52746	P25788
Q9UBH6	Q969V3
P53420	Q8NEG0
Q9Y3D8	Q8N6T3
Q8N3Y3	Q5VWM6
O95996	Q9NQG1
Q53F19	Q14765
Q8NH49	Q4G148
Q8NGR6	P15407
P01717	P38405
P22748	O75586
Q9BXQ6	P62318
P48380	P50851
P0C7N4	Q8IXB1
Q96F46	A5D8W1
A6NGS2	P01599
Q9NS00	Q96Q80
Q01094	P30492
P0C6P0	P0CW19
O43313	P51689
Q14973	P17014
O14718	Q8IZQ1
Q7Z407	P21964
O60307	Q9BZM4
O95361	Q8IUG1
O14921	P62310
Q9H227	Q6ZN04
Q13449	P51878
Q99607	P0CG06
Q9Y2B1	Q6P656
P16070	P49773
Q8WWZ1	O15525
O00115	Q2TAL5
Q9ULZ3	O94759
E7EW31	Q9UKV8
P41970	Q8N960
Q9H0I9	Q96GE6
Q8NGN1	Q9BZZ5
Q8TBK6	Q8NEG2
Q8NGN1	Q8NFZ5
P61247	E7ERA6
P01782	Q9UKZ9
Q96P47	P57679
Q8NCM2	P26678
Q9H596	Q7Z3B1
Q96AH0	P51684
Q0P5N6	P21108
Q5CZC0	Q9ULS6
Q96D71	Q16322
P07992	Q5VSY0
P14406	P52945
B1ANY3	Q8N127
P05814	Q49AN0
Q9UHR6	O60673
Q9Y4L1	Q14558
P52739	O60282
P05023	Q15637
Q96T66	Q6UXM1
Q5MJ08	Q5T1C6
Q8TC59	Q6ZVL6
P60510	Q6PI73
Q9BSD3	P10266
Q01415	Q9H0C2
Q9UIF7	Q8NEZ2
Q9Y231	Q8N8V8
Q7RTU7	Q9BZF2
P15848	P0C7V4
Q13813	A1L390
P51805	Q3KR37
Q8NEP4	P00846
O00755	Q8WTT0
Q8N4Z0	O75461
Q96QP1	Q504Y3
P0C0L4	Q86UD5
Q9UHG2	Q8N141
Q96P20	P51911
Q9BXW4	Q9Y3F4
A4D2H0	P49802
Q00688	B6A8C7
Q9H9S5	Q8N888
Q96BY6	Q9H4B4
Q96JB1	Q8IXJ6
Q5K131	P11150
Q8WX77	Q68CP4
Q9UPT8	Q86UN6
Q13885	P43627
Q13574	Q13491
Q8TAT2	Q494R0
P17025	P01833
P0CJ85	Q9HAW9
Q8WV74	Q8NH79
Q9H7P6	Q9Y5M1
P09234	P60006
Q12929	Q8NGG8
Q8IZV5	P07992
Q9Y5J5	Q9H0C5
Q9UJQ7	Q9UEU5
Q6PDB4	A6NMZ5
Q86U28	Q9UL54
Q8NGY7	P18089
O00322	Q17RB0
Q8IVL6	Q9BXU3
O95755	Q8N4Q1
Q5JVX7	Q5SY68
Q13361	Q9UG01
A1L3X0	Q9Y6X6
P61026	P13569
Q13530	O75298
Q9BQS2	Q96KP6
Q99504	Q9C0K0
Q8N960	Q8IXF0
O43561	Q9NR00
Q9BRX2	Q9UPM8
P63133	Q9NZJ5
P09105	Q9NQ30
Q8IYU2	Q70IA6
Q4KMQ1	P17032
Q6IF99	Q13278
Q96MF2	P50990
Q99466	Q9BXU0
P15104	O14744
Q9H310	P30518
Q9BR76	Q8NHL6
A6NMZ5	Q8NGJ8
Q8N205	Q9BQ65
P62995	A2VDJ0
Q9C0A6	P11308
Q9Y6Y1	P50616
Q9NPH5	Q92786
Q5GLZ8	Q9ULU8
Q9NWW5	Q8IZF7
A6NIY4	Q32P51
O60312	Q2I0M4
P21145	P16442
P41567	P50443
A1KXE4	Q14469
P35869	Q5JQS6
O95371	Q9BWD1
P08069	Q16816
Q9HCJ5	Q86UY8
O14773	Q8TEF2
P48059	Q16610
Q8TB37	Q6NUJ1
P03928	Q9UJ98
P02655	Q8TBK2
P15121	Q9NPE2
Q9UPY3	Q8N149
O60763	Q5W111
P48730	Q6DN14
P28360	Q96H78
Q14203	Q8NFW8
Q9C0B5	Q96DC8
Q9UL18	Q8NFZ6
Q8WZ59	Q6P597
Q12872	O76087
A6NLI5	Q9NPF7
P20039	Q29974
Q9H000	Q6UWE3
P62491	P39748
P06870	P78385
Q8N4L8	Q15651
O60303	O95239
Q6XXX2	P16671
P35968	A1A4G5
Q9H981	P30505
Q8TAA3	Q14112
P28698	Q8NH43
Q92622	P56524
Q8ND76	Q6ZTQ4
Q8NH61	Q5T700
P10588	P60033
Q9BYE0	P22792
P26927	P40692
Q9BT88	A4UGR9
Q9Y572	Q9BVG9
Q96MT7	O95238
Q8WUD4	Q9BYR4
P47890	Q9P1U0
Q86UE6	Q8IWI9
P0CG12	Q9UKR8
Q9Y4F1	O95447
Q13360	Q14749
Q86VR8	Q9Y5Y2
Q14204	Q6ZSJ9
Q14940	O60870
Q8N371	P04229
Q9Y3A0	P49798
Q07889	Q96RP8
P52735	P08236
P62888	Q7L5A8
Q9Y234	Q5JTH9
Q6ZN08	Q9Y5U2
P48681	Q12933
Q9UHT4	O60488
Q9BZI7	Q9UJY5
Q8N386	Q9H871
Q8TE69	P56470
P49327	Q9BXP8
A8MVS1	P60827
O95573	Q68D51
Q96R72	Q9Y5Q6
P62195	P22079
Q8NGB9	P32456
P10646	Q96K30
Q9BPW8	Q96QU4
Q9Y570	Q9NP87
Q6UXQ4	Q9UHR5
Q9UBE0	Q9NSC5
Q8WVK7	P52435
P13232	Q8IY21
P0C881	Q9BQE6
Q99571	P56589
P16152	Q9ULR0
Q8N0Z2	Q8TCT6
Q96AV8	Q8N3U4
Q6ZSJ9	Q04724
Q6NXT2	P00846
Q562E7	O75688
Q9Y2C5	P18825
P55263	Q9NQ29
Q96F86	P0C7M8
O15455	O60383
O95376	Q15836
Q7Z5L2	Q8WWG9
P80192	Q96DA0
Q8NH41	Q9UM13
Q5T4I8	C9J2P7
Q6P435	P14207
O14683	Q96QZ0
P07288	Q8NFU3
O43687	Q96EG1
Q9NVV2	Q8N5J4
Q9H1K4	Q9UBG3
O43324	Q6IEZ7
Q9H1C0	Q9H3W5
Q8TBZ0	P20749
A6NM15	Q96QZ7
P27658	O75715
Q8IUQ0	Q9Y2P4
Q13547	Q8WTV1
Q9Y388	Q9Y5L3
Q6P1X6	Q8TDW5
Q6ZSB3	O60462
Q9NRX2	Q01362
Q96ND8	Q8N782
Q9UIV8	Q7L622
Q8IXQ3	P48509
O95445	O96024
P07237	Q8IXN7
Q9BYE7	Q03431
Q9NVK5	P55347
Q13508	A6NI79
Q5VWT5	A6NKU9
Q15761	Q7L591
Q6ZMI0	Q96QU6
Q8NAX2	Q9NR81
Q7Z4H4	Q9Y2T6
Q8N0S6	P31431
Q96S53	Q68J44
P35232	P01266
Q9NR61	Q5TYW2
Q96I85	Q6IA69
O00462	Q6ZST4
Q9NRJ2	O43402
P68036	Q8N2H3
O43196	Q5SWL7
Q9H400	P25445
Q02040	Q9BXU8
Q92574	Q8N612
Q9H019	Q6P1J9
Q8NGD0	Q2HXU8
Q9H6E4	Q9GZT4
Q13554	P40937
Q9Y448	Q6IEZ7
Q8NAP1	Q9Y3C5
O43583	Q8IWU6
Q6NT89	Q9C0I9
Q8N8S7	P98082
Q6NUT2	O43374
A6NJZ3	Q8TD16
P48165	Q9H875
Q8IVU3	P19237
Q15904	Q86US8
Q9NP66	Q8IZF3
Q15929	Q9UL12
Q8TDS5	P34910
A8MTB9	Q9Y4U1
Q9P2E3	Q9BYR6
P83916	Q6PIJ6
Q86TZ1	Q8TEQ8
B1AKI9	Q86UA1
Q14722	Q8IVN8
Q9ULI4	C9JE40
O60248	A0AV02
O95817	Q7Z553
Q8NEW0	Q969M3
Q9BYR4	P20827
Q8NGN3	Q7Z4P5
P59045	F7VJQ1
Q8N144	Q13477
Q96CT2	O75909
Q9BSJ8	Q3KP44
Q8IUH3	Q96M85
O60879	Q3YBM2
Q5HYK3	Q13066
Q9H4G0	O95841
Q96D71	O60603
P63135	P21439
P49716	Q9C0H9
Q16676	Q9BXY4
Q8TCJ0	Q8IYS2
Q96PX8	O95639
Q99075	Q6B8I1
P78333	P13688
A6NM62	Q96GE4
A6NIK2	Q14500
P09086	Q9UBP6
O76080	Q9BZE0
Q8NFU7	P55895
Q8N1D5	Q8N386
Q9UI10	P78556
Q9BYG8	Q3B8N5
Q5HYK7	P37840
Q9Y6W3	P01233
Q15173	O60330
Q8NH83	Q96GQ7
Q8WY54	Q6T310
Q06190	Q6ZP80
Q86WB0	Q96PQ6
Q9H3U7	P09497
Q9HAH7	Q9BSK1
P27797	P10915
Q99944	Q15391
Q8IWW8	P11049
Q9NPG8	Q13070
P54578	Q9NQS5
Q15723	A0PJY2
Q9HCX3	Q6UWQ5
A8MVZ5	O60641
P63104	Q9NYG8
O43639	Q13258
Q96Q11	P05538
Q9UK99	P54826
Q8IY18	Q2M296
Q9P2D0	A6NLC8
Q13608	Q9Y2Q9
O00445	Q8NDQ6
Q6URK8	Q5HYK9
Q8IZR5	Q9H321
Q9UQ80	P43627
O60674	Q7L3B6
Q53GT1	Q9BPW5
P53420	P0C862
P55060	Q9UDV7
Q5H9U9	P29084
P24387	Q68CZ1
P0DMS9	Q5VTM2
Q96S65	O95185
Q6ZUT9	Q8WV99
Q9Y2G1	Q6ZMV9
Q8NGJ9	P83859
Q9NZM6	A8MTW9
O15245	O43677
Q8IWU4	P19237
Q4W4Y0	Q66K14
Q9Y5H7	Q9HA47
P09661	Q6L8G5
A2RRH5	Q96HF1
P15170	Q13017
Q9H3F6	Q96NL0
Q92729	Q9P0U3
Q7Z5S9	Q9HCE9
Q96K31	Q96CU9
P32856	Q13115
Q75VX8	Q53GS9
P78332	P0CJ77
Q8N6R0	Q9UGH3
Q86X83	Q9BXL7
Q8WZ71	Q8WTU2
Q15024	O75582
O94901	Q9GZM7
Q8N945	Q93075
Q969T4	P31946
Q14507	Q9NS37
Q8N4P6	Q14807
Q95604	P07451
Q96IZ7	Q5JQD4
P58417	Q8NGY0
Q96RE9	Q07325
Q05925	Q96GN5
A2RRD8	P51957
P61225	Q5M9Q1
Q9NX02	Q5EBM4
Q69YI7	Q9Y2R5
Q16549	P15428
Q5TCH4	A4D1N5
Q8N2M4	P33981
Q9Y6K1	Q96A44
Q4G0N7	Q96S55
Q4LEZ3	Q96QK1
Q2KHR3	Q86VU5
Q96PN6	Q7L5A8
Q8NCQ7	Q8TB68
B2CW77	Q9BSM1
A6NI28	Q6ZNA4
P52741	Q14624
P16435	Q7Z3Z4
O75493	P29353
Q9H1Z4	H0Y354
Q9BYW3	Q6DHY5
Q96BJ8	Q96MC6
Q495N2	Q86SQ0
Q96LD8	Q96NU0
P43632	Q9BPU9
Q06432	Q8NGL1
Q96P64	P17480
Q96G04	P35900
Q13188	Q13342
Q8WVE7	A6NM15
Q6BDS2	Q92973
Q00013	Q9BYS1
Q9BTD1	Q8IY34
P27987	Q86WR7
Q6XLA1	O75077
P40937	Q8TC59
O00151	B0YJ81
Q6XLA1	Q6IA17
P20339	Q9Y233
C9JDP6	Q8NFD5
P18859	P49184
P06865	Q7RTS5
P51679	Q9UKT9
Q6XPS3	Q8TCT6
O75467	Q32MQ0
P59817	Q96R28
P35070	Q9Y6A1
Q9BYQ0	A2RU67
Q12931	Q9BSE2
Q99755	P52732
Q9NX04	P11161
P15088	Q9UBR1
A5YM72	Q9UN71
Q96PU5	O60516
Q86WK7	O15444
Q9NQE7	P52888
H0YL14	Q8IYV9
Q6UVJ0	A6NDD5
Q9HD34	Q6UWU4
Q96SZ6	P04179
O95197	Q12965
P08048	Q8IX94
Q8N4H0	Q96N64
P62993	Q9NZD2
O00625	P98194
Q7RTZ2	Q8IXL7
Q96DX7	P0C838
D6R901	Q96NK8
Q5HYW3	Q8N4T0
Q5JTD7	Q9BZ97
P21281	Q6DJT9
Q6UX41	Q16655
A6NJW9	Q86UD5
Q8NFJ6	Q9BXS6
P62685	P62879
P12104	Q6PKH6
P00451	P86434
O75473	A3KN83
Q9Y3Q7	Q8IZP6
Q8TBE3	A5PLL7
P50238	A1L4L8
Q2M218	Q9NZC7
Q9NRM1	Q9UGI9
Q8TCX5	Q5T0N5
P62158	Q6ZQT7
Q9UJY1	Q6PIW4
Q08043	Q86YQ2
P19438	Q9Y3Y4
Q14151	P26651
Q33E94	Q6DN14
Q92896	O75051
P23142	Q12789
P23786	P68402
P22310	Q8NGS6
P48556	Q6ZVT6
Q14154	P04432
Q96PZ0	P22466
Q7Z6M1	Q8WZ75
Q9Y3E7	O75333
O43182	Q96LP6
P49585	Q15014
A6NCE7	O00337
Q9Y6C7	Q9ULP9
P25942	Q9C075
Q96JK9	Q8N4P6
O60688	Q86V87
O75459	P50219
O95214	O00338
Q5UIP0	P31949
P22307	Q9BXW4
Q9NYL5	A1A4V9
Q9UPY6	O60271
Q7L622	O75937
Q6ZST4	P38484
Q9NQ36	Q9H009
Q12974	Q96HU1
O60701	Q86VZ6
Q9Y3I0	P08514
O60902	Q9Y6M9
O14894	P26717
Q6PML9	P01236
Q9H008	P13805
Q9NQ76	Q16772
P62841	Q8TD22
Q9UBU6	O14764
Q9BZA8	Q8TAC2
Q8N8I6	P02549
Q8WYH8	Q9H987
Q63HR2	Q8IWB6
P62253	P81408
P00450	Q9Y2B9
O75791	Q8N9Z9
Q8IYB0	P52961
A6NMU1	Q16630
Q9UFE4	Q8IUK8
Q8TF64	O75409
P60981	P11049
Q9BYR0	Q92771
Q9Y238	P07205
Q96BY9	Q9NY61
Q9UJ55	O75487
O15068	Q8N127
Q93033	Q6L8G8
Q9NYF8	P48066
A6NEH6	Q8NHG8
O94887	Q5VW00
Q8IYD9	O75343
Q8NBF2	Q96A98
Q7Z7M9	Q8N8G2
P05198	Q12901
Q8N587	P63124
Q9BVG8	O14562
Q8NDN9	Q96AC6
Q12794	Q8NHK3
Q96AC1	P21579
Q96FL8	Q14201
O75528	Q05519
Q96HR3	O75173
Q15323	Q01780
Q9H173	Q4G0S7
P0C7U0	Q06710
P12524	Q8N302
Q86WA8	O60688
Q9Y6J8	P01189
Q9H3M7	Q8NEQ5
O75690	P48448
P0CF97	Q8NEA4
P54219	P31327
O43159	P57775
Q8NGK2	Q9UBM7
Q2VPJ9	P19419
O14753	O43684
Q6IMI6	Q9Y2W6
P30711	Q13107
Q9H2F9	P86790
Q5BKY9	P15622
Q8N461	Q8TBB5
Q96GD3	Q9NX00
Q14318	Q9HBJ8
Q5T0D9	Q96BY7
Q02108	Q7RTZ1
P50914	Q9NR82
P54108	Q8N4V2
Q9BQ52	P0DMS8
Q6UXN9	Q8IYJ1
Q96Q35	P01233
Q6NSI8	Q9UQ84
P61981	A6NIX2
Q8N138	O75459
Q9UQC2	O14880
C9JUS6	Q8TE85
Q9C040	O00203
Q15427	Q52M93
Q01523	Q9BRJ9
Q7Z7M8	P29074
Q9UKJ5	Q9BYW2
Q00532	A8MYV0
Q5THJ4	O60547
Q8NGT0	P23942
Q9NRS6	Q5SR56
Q8TD07	Q7Z602
Q16825	Q9H2H9
Q6B9Z1	Q709C8
P49795	P09486
Q8N1Q8	Q8WVQ1
O00459	Q3T906
P33241	Q9Y6X3
Q96QV6	Q7Z3E2
Q9NRI7	Q6ZP98
Q9NQ11	P59541
Q9P0X4	Q6PKG0
Q76FK4	O75635
O14727	Q9Y5F0
P04908	Q13349
Q5T3F8	Q5SZQ8
O75326	Q6P4Q7
P41221	Q96AB6
O60486	Q01629
Q86U44	O75390
Q9NV39	P04628
Q6P3X3	Q9Y2H6
P51957	Q9BZG2
Q9Y6A9	Q70EL2
Q76EJ3	P78539
Q9UH90	P0DMR2
O15266	Q6R2W3
Q9UJW8	Q9UK41
O95670	P01597
P43007	Q9NQW1
Q6ZMJ4	Q8N5U1
Q6Y7W6	Q9UJ83
Q9UNP4	Q9NUS5
O00308	Q96J86
Q2WEN9	O00470
Q9NWQ9	Q92558
Q5C9Z4	Q99969
Q7Z5L9	Q7L0X2
P09543	Q9UQ03
P25021	Q96MN9
O15372	Q15125
Q8NG41	P14555
Q8N5U6	P01617
Q8IYU4	Q8WU79
Q8WUY9	Q5VUG0
Q5VUE5	Q5T5C0
P16109	O15539
Q9NRS6	Q8NH48
O75298	Q9UPN3
Q15047	P08912
Q86U02	Q9BQA9
Q96M61	Q01151
Q96BN8	Q8IVW1
Q9H3U1	Q2M2I3
Q6UUV9	Q9UM82
Q9Y2F9	Q6UXB0
Q96QK8	Q9H173
Q8NHP7	O00299
Q9Y5Y2	Q9H2R5
O14775	O60927
Q8NAQ8	Q9P2T1
Q5VYV0	Q9Y6K0
Q8N7U6	O14772
Q9NYT0	Q16649
P03950	P0CG30
Q96D15	Q15067
A8MWA4	P46734
Q9UKB5	Q9Y4H4
P57740	P61578
Q5JNZ3	Q99558
P11474	P43626
Q8N8Y2	Q06033
Q12802	Q9BYQ2
Q92837	P17301
P27338	A6QL64
Q6UVM3	Q9Y4B5
P07355	Q9Y320
Q9UKE5	Q8N1V8
Q99459	P14406
P14927	Q8TAV3
Q8NEF3	Q9BQB6
O75923	P41595
Q9Y343	P48380
P43320	P14859
Q8WXE9	Q8IVH8
Q9C0K0	Q6NSZ9
Q01415	Q8NHL6
Q9NRX3	Q14160
Q15937	Q96AQ7
P54284	O75553
O95238	P0C7H9
P48730	Q496H8
P0CW19	Q9Y336
Q5SXM1	P51523
Q9Y6R9	Q2M2Z5
Q2VPB7	Q8N4C7
P01225	Q6NSI8
Q6DHY5	P09693
O95397	Q9HAW9
Q13461	Q8N6K0
O60676	Q9Y4F5
Q6UW01	Q5R3I4
Q12884	P23434
Q8NBZ7	Q7Z404
Q7Z392	Q99436
Q96RE7	P0CI25
P33681	O75940
Q9P2D0	Q9ULW5
P00742	P35218
Q9NXR7	P15559
Q71UM5	Q9NPU4
Q9NVZ3	P32971
Q9C0B7	Q9UKE5
Q9H222	P41091
O43598	P42695
Q9H1L0	P51784
Q9Y5H5	P23975
Q71F23	O14777
O60613	Q8IWL8
Q5H8A3	Q4G1C9
Q8NB15	O75177
O75298	Q15052
O94979	Q14833
P25089	P09382
P30626	P0C7T3
Q5H943	Q8N628
P53999	P35503
O43374	Q9UHD9
Q9NP08	P30989
Q8TC84	Q969P0
Q8TB24	Q9HD34
Q9UKL2	Q6NUK1
Q9NXH8	Q96C10
Q9H7H1	Q9BV44
Q9P2G4	Q9Y3D5
P46781	O00300
P0DMN0	P07814
Q5JUX0	Q14571
Q8NBB2	O75694
Q96FV9	P10916
Q8N3J5	P11464
Q9Y5X9	A8MT65
P47872	P04436
Q9NZH5	Q9UJ14
P06317	O43364
O43813	Q32MZ4
Q9NS98	Q8TCS8
P04279	Q5VZF2
P52888	P31944
Q9BY12	P29803
Q8WVK2	Q9BV73
Q05D60	Q5VWJ9
P02708	Q9NV66
Q9NZB2	P59826
O95996	O43699
Q8N7B6	Q9H255
Q8NEV1	O43307
O60762	Q13641
Q5RL73	P08514
Q9ULB5	Q8N6G1
Q15388	Q9Y285
Q9H321	Q9NVD3
Q9BXP8	A6NKW6
Q92747	Q96AW1
Q86YP4	Q70CQ3
O43447	A2IDD5
P13716	Q8NH51
Q9BVI4	Q8IX30
Q5H913	P30495
Q8IYA7	Q8N135
Q12965	Q8WV93
Q9Y3P9	Q6B8I1
A8MWE9	Q8NB16
Q8N2U0	Q9BXN1
Q8WV35	Q6ZWL3
Q8IVW4	Q9UK73
Q9Y3A6	Q9Y6K8
Q96IY1	Q9P0M6
Q9H0V1	Q6ZVN8
Q13214	Q6GV28
B9ZVM9	Q86X95
Q9BWX5	Q9ULR5
Q6DCA0	Q56UN5
P31751	Q8TBZ5
Q6UW10	Q8NG77
Q9ULR5	Q6UWU4
Q9H0U4	Q6P3W2
Q8NFU7	Q9Y4A5
O00311	P35244
A6NKF9	Q902F8
Q00526	P80723
Q93083	Q86Y82
Q7L014	P55259
A6NKF9	O60706
Q5W0N0	P52735
Q06203	Q9UKK9
Q6NUJ5	Q9UQR0
O14817	P16871
H3BMG3	P78312
Q96MT1	Q9UNY5
Q9BQ52	P21741
Q8WVB3	Q9ULI4
Q8TAT6	Q86TN4
Q9UBH6	P19525
Q8TCV5	Q99567
Q5FWE3	Q9H1Z8
Q9H8W4	P42765
Q9NWQ8	Q8N543
Q9NTX5	Q9BYP8
Q32P44	Q9Y6A9
P51512	Q8NFQ5
Q7Z739	Q8NFH8
P62324	Q86U90
Q9H0X6	Q15208
Q8TE77	Q9UPW0
Q8N690	P51692
Q6ZNJ1	Q96EI5
O15455	Q9GZQ6
Q6ZN28	I1YAP6
P23497	Q8N8G6
Q8N4L1	P15498
Q9UI09	Q03135
Q8NGA0	P07358
A7KAX9	P11055
O15511	Q8N4W6
Q86XS8	O15055
P16157	P58512
Q9UKR3	Q765I0
P04275	Q14686
Q9H9Z2	A4D2B8
P52758	A6NGS2
P08582	Q92503
Q52LC2	Q49SQ1
Q9H0X9	O76090
Q9C0A1	Q8IUW3
P12645	P48549
P15144	P30047
Q11201	Q2M3G0
Q13520	P0C0P6
P11229	O75494
Q9BQE4	P01770
Q8TDI7	P0CG41
Q04828	Q15833
P08174	Q9GZS1
Q9H2U6	P61026
Q14CZ7	Q15475
Q15155	Q9NS61
P15923	Q9Y5J7
Q9NRG9	P10721
Q9HAT2	Q9BR01
A8MXV6	Q6ZP65
P69905	Q96BH1
Q9UMW8	Q9NXR7
Q8N0S2	Q96PV0
Q15904	Q96PL5
Q13278	Q6PJ61
Q9H857	Q8WWU5
P58181	Q8TD26
Q9H492	Q92896
Q8IU53	Q16281
Q9UC06	P12872
O95202	Q53FZ2
A6NLU5	P84550
P31151	Q9UMD9
O14949	Q6ZR52
O95918	Q92546
Q96AZ1	Q8NH73
Q5VW36	Q9UII6
Q8NGQ6	Q15493
Q5JS54	P67936
A6NLP5	Q9BVL4
Q9H0R8	P26439
P51674	Q9Y6C2
P24311	A6NCE7
Q96NN9	P41219
Q8N0W5	Q96Q11
Q8IY22	Q96LL4
P14550	Q6UB28
Q96JQ0	Q9H446
A8MTT3	P27105
O43365	Q9H1Y0
P04211	Q8NGN4
Q96J94	P48039
Q9BVC5	P98164
Q9P296	P42898
P01137	A2A2Y4
Q99611	O15438
Q96SE7	P00450
P11801	Q8IYS4
P57739	O00154
P30536	Q53HL2
Q9Y3A6	Q96LZ7
Q5U623	P48029
